dense_params,account_balance,roi,gamma,aggregation,downside_deviation,eps_end,learning_rate,stopping_metric,mean,n_samples,fx_pair,eps_start,sum,memory,sharpe,conv_params,neutral_cost,tech_indicators,median,standard_deviation,max_steps,start_memory,target_update,pip_size,eps_decay,sortino,stop_loss,actions,batch_size,model_name
"[{'out_features': 4217}, {'out_features': 4217}, {'out_features': 4217}, {'out_features': 4217}, {'out_features': 4217}, {'out_features': 4217}, {'out_features': 4217}, {'out_features': 4217}, {'out_features': 4217}, {'out_features': 4217}, {'out_features': 4217}, {'out_features': 4217}]",100000.0,0.0,0.999,1 min,nan,0.05,0.0030877821407914166,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,10000,0.0,"[{'kernel_size': 2, 'out_channels': 169}, {'kernel_size': 2, 'out_channels': 169}]",-750,"{'macd': [12, 26], 'rsi': [14]}",0.0,0.0,50,20,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,inf,NA,"['long', 'neutral', 'short']",16,2020-03-17_00-06-55
"[{'out_features': 2048}, {'out_features': 2048}, {'out_features': 2048}, {'out_features': 2048}, {'out_features': 2048}, {'out_features': 2048}, {'out_features': 2048}, {'out_features': 2048}]",91208.1855747941,-0.08791814425205899,0.999,30 min,139462.73735643146,0.05,0.001,"{'threshold': 2.0, 'type': 'sortino'}",-93.48481196689559,100,EURUSD,0.9,-9348.48119668956,1000,-9.622040332281354e-05,"[{'kernel_size': 4, 'out_channels': 256}, {'kernel_size': 4, 'out_channels': 256}, {'kernel_size': 4, 'out_channels': 256}, {'kernel_size': 4, 'out_channels': 256}, {'kernel_size': 4, 'out_channels': 256}, {'kernel_size': 4, 'out_channels': 256}, {'kernel_size': 4, 'out_channels': 256}, {'kernel_size': 4, 'out_channels': 256}]",-128,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",-269.9832098140398,529.3560031003577,5000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-9.889246896077706e-07,150,"['long', 'neutral', 'short']",16,2020-03-25_03-17-41
"[{'out_features': 1363}, {'out_features': 1363}, {'out_features': 1363}, {'out_features': 1363}, {'out_features': 1363}, {'out_features': 1363}]",100000.0,0.0,0.999,30 min,0.0,0.05,0.00018431434750798038,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,1000,0.0,"[{'kernel_size': 2, 'out_channels': 366, 'stride': 1}]",0,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",0.0,0.0,4000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-19_10-37-14
"[{'out_features': 512}, {'out_features': 512}, {'out_features': 512}, {'out_features': 512}, {'out_features': 512}, {'out_features': 512}, {'out_features': 512}, {'out_features': 512}, {'out_features': 512}, {'out_features': 512}]",93339.36626800158,-0.06660633731998417,0.999,15 min,139328.893028194,0.05,0.001,"{'threshold': 2.0, 'type': 'sortino'}",-71.07187176225808,100,EURUSD,0.9,-7107.187176225808,1000,-8.124089858233444e-05,"[{'kernel_size': 2, 'out_channels': 64}, {'kernel_size': 2, 'out_channels': 64}, {'kernel_size': 2, 'out_channels': 64}, {'kernel_size': 2, 'out_channels': 64}]",-2048,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",-287.9486790622443,624.2018441761728,5000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-8.369142593875931e-07,120,"['long', 'neutral', 'short']",16,2020-03-25_20-51-33
"[{'out_features': 1021}, {'out_features': 1021}, {'out_features': 1021}, {'out_features': 1021}, {'out_features': 1021}, {'out_features': 1021}, {'out_features': 1021}]",100000.0,0.0,0.999,15 min,0.0,0.05,0.004702844370297016,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,10000,0.0,"[{'kernel_size': 8, 'out_channels': 196, 'stride': 1}, {'kernel_size': 8, 'out_channels': 196, 'stride': 1}, {'kernel_size': 8, 'out_channels': 196, 'stride': 1}, {'kernel_size': 8, 'out_channels': 196, 'stride': 1}]",-750,"{'macd': [12, 26], 'rsi': [14]}",0.0,0.0,5000,1000,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-18_08-29-11
"[{'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}]",87717.06211646974,-0.12282937883530264,0.999,30 min,151396.43918500727,0.05,0.001,"{'threshold': 2.0, 'type': 'sortino'}",-118.81766372829071,100,EURUSD,0.9,-11881.766372829072,1000,-0.00010770426107982227,"[{'kernel_size': 1, 'out_channels': 256}, {'kernel_size': 1, 'out_channels': 256}, {'kernel_size': 1, 'out_channels': 256}, {'kernel_size': 1, 'out_channels': 256}, {'kernel_size': 1, 'out_channels': 256}]",-2048,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",-256.93663414272373,475.26603055515227,5000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-1.1415683206664075e-06,180,"['long', 'neutral', 'short']",16,2020-03-25_10-06-05
"[{'out_features': 1409}, {'out_features': 1409}, {'out_features': 1409}, {'out_features': 1409}, {'out_features': 1409}, {'out_features': 1409}]",-2138.8349682632634,-1.0213883496826326,0.999,15 min,92136607.45892513,0.05,0.006439202703475953,"{'threshold': 2.0, 'type': 'sortino'}",-6098.439953085633,100,EURUSD,0.9,NA,1000,-1.4181953764870605e-05,"[{'kernel_size': 10, 'out_channels': 464, 'stride': 1}, {'kernel_size': 10, 'out_channels': 464, 'stride': 1}, {'kernel_size': 10, 'out_channels': 464, 'stride': 1}, {'kernel_size': 10, 'out_channels': 464, 'stride': 1}, {'kernel_size': 10, 'out_channels': 464, 'stride': 1}, {'kernel_size': 10, 'out_channels': 464, 'stride': 1}]",-7991,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",-5212.146606415668,7825.748227001709,15000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-1.1628259160293717e-08,NA,"['long', 'neutral', 'short']",16,2020-03-19_22-17-25
"[{'out_features': 1007}, {'out_features': 1007}, {'out_features': 1007}, {'out_features': 1007}, {'out_features': 1007}, {'out_features': 1007}, {'out_features': 1007}]",162373.0113198415,0.6237301131984149,0.999,15 min,125471603.34064259,0.05,0.007013965859115124,"{'threshold': 2.0, 'type': 'sortino'}",571.1169572879647,100,EURUSD,0.9,NA,10000,-4.377498024243569e-06,"[{'kernel_size': 8, 'out_channels': 313, 'stride': 1}, {'kernel_size': 8, 'out_channels': 313, 'stride': 1}, {'kernel_size': 8, 'out_channels': 313, 'stride': 1}, {'kernel_size': 8, 'out_channels': 313, 'stride': 1}, {'kernel_size': 8, 'out_channels': 313, 'stride': 1}]",-750,"{'macd': [12, 26], 'rsi': [14]}",613.1880988723146,10117.38444696922,5000,1000,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,4.5725893184037524e-09,NA,"['long', 'neutral', 'short']",16,2020-03-17_23-00-00
"[{'out_features': 1849}, {'out_features': 1849}, {'out_features': 1849}, {'out_features': 1849}, {'out_features': 1849}, {'out_features': 1849}, {'out_features': 1849}, {'out_features': 1849}, {'out_features': 1849}, {'out_features': 1849}]",100000.0,0.0,0.999,1 min,0.0,0.05,0.001,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,1000,0.0,"[{'kernel_size': 9, 'out_channels': 362}, {'kernel_size': 9, 'out_channels': 362}, {'kernel_size': 9, 'out_channels': 362}, {'kernel_size': 9, 'out_channels': 362}]",-361,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",0.0,0.0,5000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-22_10-02-35
"[{'out_features': 1796}, {'out_features': 1796}, {'out_features': 1796}, {'out_features': 1796}, {'out_features': 1796}, {'out_features': 1796}, {'out_features': 1796}, {'out_features': 1796}, {'out_features': 1796}, {'out_features': 1796}]",214174.53485725817,1.1417453485725817,0.999,1 min,152566076.26997876,0.05,0.007771750614404679,"{'threshold': 2.0, 'type': 'sortino'}",1178.0965282663744,100,EURUSD,0.9,NA,10000,-3.5501636891227743e-06,"[{'kernel_size': 1, 'out_channels': 204, 'stride': 1}, {'kernel_size': 1, 'out_channels': 204, 'stride': 1}]",-750,"{'macd': [12, 26], 'rsi': [14]}",1305.555861226982,10765.428882739761,5000,1000,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,7.155885340071567e-09,NA,"['long', 'neutral', 'short']",16,2020-03-17_18-05-26
"[{'out_features': 1188}, {'out_features': 1188}, {'out_features': 1188}, {'out_features': 1188}, {'out_features': 1188}, {'out_features': 1188}, {'out_features': 1188}, {'out_features': 1188}, {'out_features': 1188}, {'out_features': 1188}]",100000.0,0.0,0.999,1 hour,0.0,0.05,8.663316826615483e-05,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,1000,0.0,"[{'kernel_size': 8, 'out_channels': 295, 'stride': 1}, {'kernel_size': 8, 'out_channels': 295, 'stride': 1}]",-8450,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",0.0,0.0,15000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-20_04-17-39
"[{'out_features': 1979}, {'out_features': 1979}, {'out_features': 1979}, {'out_features': 1979}, {'out_features': 1979}, {'out_features': 1979}]",100000.0,0.0,0.999,30 min,0.0,0.05,0.00795044889031881,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,1000,0.0,"[{'kernel_size': 3, 'out_channels': 24, 'stride': 1}, {'kernel_size': 3, 'out_channels': 24, 'stride': 1}, {'kernel_size': 3, 'out_channels': 24, 'stride': 1}, {'kernel_size': 3, 'out_channels': 24, 'stride': 1}, {'kernel_size': 3, 'out_channels': 24, 'stride': 1}, {'kernel_size': 3, 'out_channels': 24, 'stride': 1}]",-1393,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",0.0,0.0,15000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-20_16-41-49
